name,lat,temp_max,winds,clouds,humidity
rikitea,-23.12,73.27,14.45,0,100
rio grande,-32.03,73.4,12.75,20,56
balkhash,46.84,46.09,13.0,20,91
navahrudak,53.59,43.57,13.44,56,84
zeya,53.74,27.86,11.43,92,77
bluff,-23.58,71.6,7.07,0,83
hilo,19.71,70.86,3.36,75,74
hermanus,-34.42,78.1,3.94,0,48
el cope,8.69,86.0,9.17,40,74
new norfolk,-42.78,42.8,6.93,75,83
barrow,-38.31,67.06,3.94,76,68
tres arroyos,-38.38,67.06,3.94,76,68
hobyo,5.35,76.28,2.59,32,94
tessalit,20.2,61.07,3.83,0,36
airai,-8.93,60.8,0.69,0,79
geraldton,49.72,37.4,6.93,90,84
varca,15.22,88.12,6.4,0,89
mataura,-46.19,48.74,4.61,92,100
young,-32.7,72.01,6.85,24,57
busselton,-33.64,56.3,12.21,0,100
ngemplak,-7.64,75.47,7.29,92,100
bethel,60.79,28.4,17.22,1,86
lompoc,34.64,73.15,9.17,1,60
butaritari,3.07,85.55,10.76,8,100
qaanaaq,77.48,-8.55,9.75,0,100
half moon bay,37.46,69.3,12.75,75,72
ushuaia,-54.81,50.0,29.97,40,61
katangli,51.71,46.22,31.79,92,98
sargatskoye,55.6,45.46,12.1,92,91
haines junction,60.75,31.24,2.15,8,70
werda,50.44,39.11,2.24,92,86
cabo san lucas,22.89,86.95,5.82,20,48
cidreira,-30.17,63.64,22.5,100,94
kodiak,39.95,69.8,9.19,1,32
port hardy,50.7,48.2,19.46,90,81
provideniya,64.42,25.57,8.97,0,100
aykhal,65.95,21.04,13.78,92,83
east london,-33.02,66.2,9.17,0,88
gandajika,-6.75,73.72,1.59,12,84
punta arenas,-53.16,53.6,20.8,40,77
luanda,-8.83,78.8,8.05,75,83
soyo,-6.13,79.21,4.16,56,88
jamestown,-33.21,53.29,3.83,92,88
severo-kurilsk,50.68,38.93,10.54,48,100
kapaa,22.08,81.57,12.75,75,74
puerto ayora,-0.74,80.6,23.04,0,57
vardo,39.62,48.72,9.17,90,76
dingle,11.0,72.86,5.39,44,92
castro,-42.48,54.59,5.84,92,96
georgetown,6.8,91.4,16.11,20,52
saint-augustin,44.83,43.59,3.36,0,70
nova esperanca,4.44,72.01,3.6,44,100
tiksi,71.64,12.61,14.9,0,72
tasiilaq,65.61,33.8,39.15,92,93
novochernorechenskiy,56.27,33.49,6.17,0,78
lobatse,-25.21,75.2,6.93,20,19
maceio,-9.67,84.2,19.46,0,54
hamilton,43.26,41.02,23.04,90,100
bredasdorp,-34.53,66.2,9.17,48,82
tuktoyaktuk,69.44,26.6,9.17,90,100
jieshou,33.26,45.05,8.19,0,47
port augusta,-32.49,57.2,6.93,75,87
baykit,61.68,34.25,9.08,0,74
arraial do cabo,-22.97,88.68,5.82,40,62
nikolskoye,59.7,33.8,15.66,75,94
mar del plata,-46.43,70.43,5.06,0,34
martapura,-3.41,76.46,3.94,12,100
esfarayen,37.08,50.0,4.7,90,87
bambous virieux,-20.34,69.8,5.82,20,77
siniscola,40.57,69.8,5.82,0,64
nelson bay,-32.72,64.4,14.99,75,82
nhulunbuy,-12.18,71.6,4.61,68,88
trairi,-3.28,80.78,18.7,0,100
leningradskiy,69.38,14.72,5.28,0,100
upernavik,72.79,23.99,23.29,88,100
puri,-7.54,71.42,6.17,68,97
saint george,39.45,57.2,2.59,0,87
ostrovnoy,68.05,26.06,10.98,80,80
victoria,5.28,78.8,3.04,75,94
oistins,13.07,86.0,11.41,20,66
albany,42.65,41.0,14.99,90,81
katherine,-14.47,73.4,3.36,0,49
jati,24.35,70.34,4.61,0,43
gua musang,4.88,70.34,1.7,8,97
iqaluit,63.75,23.0,24.16,90,79
vila velha,-3.71,86.0,16.11,20,58
ayr,55.46,40.03,5.82,20,100
mackay,53.65,47.3,18.34,75,39
kloulklubed,7.04,77.0,3.36,90,94
itapira,-22.44,80.6,14.99,40,61
carnarvon,-30.97,61.88,2.71,0,18
aksu,52.04,48.2,8.95,0,57
yellowknife,62.45,32.0,11.41,90,93
mahebourg,-20.41,69.8,5.82,20,77
alice springs,-23.7,64.4,3.36,40,93
isangel,-19.55,75.02,1.92,0,100
constitucion,23.99,69.8,5.82,75,40
port elizabeth,39.31,54.18,9.17,90,93
ocos,14.51,90.48,6.93,40,52
khatanga,71.98,27.16,16.58,92,89
luau,-10.7,75.52,5.17,0,36
baracoa,20.35,83.12,5.06,24,96
pevek,69.7,6.76,7.18,24,100
cape town,-33.93,69.8,4.7,0,73
balsas,-7.53,93.65,3.71,44,36
fortuna,38.18,62.89,10.98,20,87
plettenberg bay,-34.05,63.82,10.2,0,94
benguela,-12.58,77.27,1.59,12,98
esperance,10.24,91.4,11.41,20,55
vaini,15.34,67.24,5.06,0,54
ambilobe,-13.19,66.38,3.94,0,68
hvide sande,56.01,32.92,4.7,0,100
torbay,47.66,42.8,16.11,75,52
karpogory,64.0,28.99,5.39,92,84
chokurdakh,70.62,7.34,7.4,88,85
grand gaube,-20.01,69.8,5.82,20,77
never,53.98,24.67,12.66,68,54
eyl,7.98,75.11,5.61,32,100
barra patuca,15.8,80.69,7.74,68,99
guerrero negro,27.97,86.27,9.75,0,39
bria,6.54,69.62,3.27,56,96
balod,20.73,64.04,2.71,0,69
miles city,46.41,57.2,27.51,1,44
bathsheba,13.22,86.0,11.41,20,66
skjervoy,70.03,35.87,13.78,88,100
norman wells,65.28,23.0,3.36,90,92
solnechnyy,50.72,34.25,10.98,88,89
saint anthony,43.97,58.35,13.87,1,38
monroe,41.91,44.76,8.05,90,93
atuona,-9.8,79.88,16.13,0,100
port alfred,-33.59,68.63,14.0,24,93
santa maria,-29.69,77.0,6.93,75,50
mulege,26.88,89.33,6.85,0,32
lasa,34.92,66.43,5.82,40,59
mahon,51.89,39.2,20.8,40,100
porto de moz,-1.75,86.09,3.94,8,72
port blair,11.67,84.07,13.44,8,100
dourados,-22.22,78.53,8.97,20,76
hobart,-42.88,42.8,6.93,75,64
rafaela,-31.25,71.96,7.18,92,71
taber,49.79,57.2,24.16,20,26
lorengau,-2.02,82.94,1.81,12,100
chuy,-33.69,63.77,14.45,80,85
havoysund,71.0,30.2,11.41,80,80
saint-philippe,45.36,40.08,13.87,40,52
sosua,19.77,88.77,11.41,20,66
monte alegre,-2.0,91.85,3.71,0,46
amapa,15.09,91.4,9.17,40,52
san cristobal,-0.39,66.2,16.11,75,45
mizan teferi,6.99,60.17,2.26,32,93
hasaki,35.73,56.16,9.17,75,82
saskylakh,71.97,18.77,25.52,92,82
ranibennur,14.62,66.38,5.95,0,60
zhob,31.34,41.09,1.7,0,82
acapulco,16.86,87.8,4.7,40,70
tuatapere,-46.13,46.99,3.49,80,100
ngunguru,-35.62,63.19,8.97,8,97
calabozo,8.92,88.66,7.29,36,59
manggar,-2.88,75.16,2.93,20,100
kosh-agach,49.99,8.02,2.82,36,75
vostok,46.45,27.41,5.39,88,81
praia da vitoria,38.73,64.4,20.15,75,72
liverpool,53.41,40.42,11.41,0,60
mareeba,-16.99,62.6,1.12,0,93
christchurch,-43.53,50.0,5.82,0,100
nanortalik,60.14,35.96,13.44,92,95
ozieri,40.59,67.96,5.82,0,64
pekan,3.49,77.0,2.24,75,94
yao,34.63,60.8,14.99,90,63
dikson,73.51,24.35,34.81,88,100
hukuntsi,-23.98,73.58,11.43,0,20
mersing,2.43,77.32,1.92,36,100
damavand,35.72,53.6,18.34,40,58
malazgirt,39.15,23.72,2.59,0,86
chaupimarca,-10.43,47.62,1.14,80,100
griffin,33.25,58.64,12.75,90,54
lebu,8.96,48.29,5.95,0,78
tigil,57.8,31.91,4.05,24,89
klaksvik,62.23,39.2,5.82,68,80
okhotsk,59.36,22.91,5.61,24,100
tongliao,43.61,30.83,12.1,0,47
keita,7.1,80.6,3.36,20,88
cherskiy,68.75,-12.01,2.71,32,77
sabratah,32.79,75.92,16.58,0,99
karratha,-20.74,64.81,4.72,0,88
gasa,27.91,-11.83,1.14,0,42
comodoro rivadavia,-45.87,71.6,12.75,40,35
fukue,35.03,60.8,6.93,20,63
kalmar,56.66,35.6,11.41,0,95
abu samrah,35.3,39.56,3.04,0,77
nalut,31.86,59.18,5.5,0,89
avarua,-21.21,73.4,14.99,75,94
kruisfontein,-34.0,64.72,14.12,0,86
turinsk,58.04,31.1,6.62,0,66
carbondale,38.82,70.5,5.82,1,30
soroti,1.71,67.64,7.18,44,96
portland,45.52,60.53,3.36,75,67
aasiaat,68.71,35.42,9.75,32,92
dustlik,40.53,62.74,13.78,92,64
touros,-5.2,79.21,11.77,0,80
meadow lake,54.13,48.2,19.46,40,56
doha,25.29,82.4,4.7,75,78
jalu,29.03,67.06,7.96,76,41
hithadhoo,-0.6,78.89,12.21,92,100
chara,39.42,57.2,2.59,0,87
kahului,20.89,79.93,19.46,20,66
san jose,15.79,72.77,1.7,36,85
hauterive,46.09,41.94,8.05,90,86
teya,21.05,91.4,9.17,75,43
quatre cocos,-20.21,69.8,5.82,20,77
waddan,29.16,73.4,15.46,0,47
sinnamary,5.38,82.13,7.18,32,94
kimbe,-5.56,75.34,3.38,92,100
xingcheng,40.62,38.48,8.3,8,65
alofi,-19.06,77.0,5.82,92,88
dongning,44.06,30.34,4.61,64,58
ilulissat,69.22,35.6,8.05,75,51
hofn,64.25,37.67,17.92,76,100
muros,42.77,39.2,2.24,40,93
rio gallegos,-51.62,60.8,27.51,75,25
basco,40.33,60.42,9.17,40,63
dickinson,46.88,59.0,28.86,20,51
ahipara,-35.17,61.88,7.96,32,92
khonsa,26.99,59.77,0.92,0,90
batticaloa,7.71,74.39,8.41,92,100
mount gambier,-37.83,45.59,3.27,24,86
mecca,21.43,73.67,4.5,0,62
buta,2.79,74.21,2.48,24,92
saldanha,41.42,37.94,5.28,48,74
bambanglipuro,-7.95,68.32,2.37,32,91
tecolutla,17.31,69.94,1.7,12,91
muqui,-20.96,77.86,6.85,44,83
ormara,25.21,75.79,3.04,0,91
virginia beach,36.85,57.02,10.29,90,82
lagoa,37.14,59.0,12.75,0,44
thompson,55.74,32.0,6.93,90,97
coquimbo,-29.95,64.4,16.11,0,68
aklavik,68.22,23.79,4.7,90,85
ribeira grande,38.52,66.2,19.46,20,59
irece,-11.3,89.47,5.17,100,30
rajanpur,29.1,67.01,2.71,0,81
gimli,50.63,43.52,7.63,80,98
micheweni,-4.97,78.98,7.85,92,100
sao joao da barra,-21.64,82.4,9.17,75,74
pangnirtung,66.15,30.2,12.75,75,50
tehachapi,35.13,76.75,9.17,1,11
seoul,37.57,43.72,5.82,90,70
norsup,-16.07,78.31,3.27,0,92
mitsamiouli,-11.38,77.0,3.36,20,78
berlevag,70.86,32.86,16.02,88,100
ziarat,30.38,35.33,2.15,0,78
talnakh,69.49,32.99,20.6,88,93
yamada,36.58,53.6,8.05,75,87
praia,-20.25,67.93,4.7,75,88
libertador general san martin,-23.81,69.8,6.93,75,73
northam,51.04,42.03,6.93,40,86
lata,30.78,41.45,2.59,0,65
longyearbyen,78.22,17.6,10.29,75,72
plouzane,48.38,39.97,6.93,92,86
la romana,18.43,85.73,9.17,40,70
moissala,8.34,76.91,2.93,12,80
totness,33.74,64.4,5.82,90,63
praya,-8.71,75.2,5.95,20,88
porto velho,-8.75,93.2,2.24,40,52
sioux lookout,50.1,42.8,5.82,90,93
chegdomyn,51.13,34.34,4.94,68,94
ushtobe,45.25,46.54,4.94,68,53
qasigiannguit,68.82,35.6,8.05,75,51
itarema,-2.92,82.27,17.13,0,63
kota kinabalu,5.98,78.8,5.82,75,88
muroto,33.37,52.43,5.73,24,100
faanui,-16.48,78.67,5.73,48,100
nemuro,43.32,53.74,15.12,0,100
george,6.63,80.6,3.36,20,88
inirida,3.87,82.54,3.38,32,83
jacareacanga,-6.22,86.54,2.15,32,77
rawson,-43.3,74.89,9.98,0,32
sala consilina,40.4,60.8,7.29,20,83
kihei,20.76,79.97,14.99,20,73
morondava,-20.3,71.6,5.5,0,99
roald,62.58,32.54,9.17,75,100
biak,-0.91,75.34,4.05,0,100
sulangan,11.14,82.36,15.46,44,100
opuwo,-18.06,62.51,2.71,92,87
jiazi,19.61,77.0,6.71,75,83
dubti,11.74,69.44,4.38,8,54
presidencia roque saenz pena,-26.79,78.26,11.21,0,51
mandera,3.94,75.92,3.71,68,72
lulea,65.58,26.6,5.82,68,86
oktyabrskiy,55.61,35.15,17.9,75,96
namibe,-15.19,79.66,16.69,0,82
tabas,33.6,77.0,2.24,76,31
necochea,-38.55,67.55,6.4,88,68
flagstaff,35.2,69.93,3.36,1,24
marsh harbour,26.54,81.41,8.86,92,100
bandrele,-12.91,78.8,5.82,0,78
mpika,-11.84,67.28,10.65,0,44
kavaratti,10.57,85.64,8.19,12,98
campbellsville,37.34,50.38,11.41,90,66
ossora,59.24,28.04,3.94,0,100
lavrentiya,65.58,28.22,24.63,0,100
churintzio,20.15,74.17,4.05,12,56
hualmay,-11.1,69.71,5.39,0,65
turayf,31.68,51.8,9.17,0,34
grants,35.15,64.4,11.41,1,23
sarangani,5.4,82.4,13.78,44,100
kutum,14.2,71.96,11.65,0,26
gazli,40.13,57.61,20.15,92,70
panevezys,55.73,41.0,20.8,20,86
marawi,8.0,61.66,1.81,32,95
oranjestad,12.52,86.0,23.04,40,70
thinadhoo,0.53,80.74,13.89,88,100
ostroleka,53.09,42.76,10.09,68,72
agirish,61.92,30.52,6.96,44,72
puerto quijarro,-19.0,78.8,4.7,75,83
fortuna foothills,32.66,86.0,8.05,1,25
bitung,1.44,75.2,1.12,40,94
isabela,10.2,70.7,2.93,24,95
dunedin,-45.87,47.57,3.83,92,100
santa rosalia,38.07,70.48,28.86,40,56
hanmer springs,-42.52,54.05,3.15,0,57
gojra,31.15,65.84,2.71,0,78
caledonia,42.81,50.0,4.5,40,66
vestmannaeyjar,63.44,41.0,23.04,75,98
honolulu,21.3,80.58,16.11,75,65
faya,18.39,64.4,4.38,40,88
luderitz,-26.65,86.0,5.82,32,28
onda,39.96,53.6,4.7,75,87
erdenet,49.03,12.61,2.37,0,58
saint-pierre,48.95,39.2,4.7,90,93
swinford,53.94,37.4,11.41,20,97
nipawin,53.36,35.6,8.05,90,93
brodick,55.58,39.74,5.82,20,99
samarai,-10.62,79.43,9.75,76,100
merced,37.3,77.45,4.61,1,44
westport,53.8,37.4,11.41,20,99
port macquarie,-31.43,66.2,10.29,75,82
port-gentil,-0.72,80.6,9.17,20,88
mount isa,-20.73,78.8,17.22,90,34
roros,62.57,17.6,4.7,75,100
athni,16.73,64.49,8.19,0,52
bucerias,20.76,86.0,10.29,20,70
narsaq,60.91,33.8,1.12,75,86
tezu,27.93,60.67,2.04,0,50
camacha,33.08,67.23,17.22,40,72
lakes entrance,-37.88,52.88,5.61,76,91
humberto de campos,-2.6,81.5,16.8,12,89
paka,45.29,64.4,6.93,0,52
zhigansk,66.77,17.33,10.42,76,84
fort saint james,54.43,44.51,3.38,0,65
ponta do sol,-20.63,72.91,12.77,56,81
sal rei,16.18,78.8,13.87,75,78
whitianga,-36.83,61.97,13.0,80,98
bonfim,3.36,97.25,14.67,0,34
broome,52.47,42.39,4.7,75,87
tricase,39.93,68.0,13.87,40,82
egvekinot,66.32,-9.76,2.26,0,66
the valley,18.22,84.2,11.41,20,66
katsuura,33.93,59.0,9.17,40,62
olimpia,44.99,56.8,12.75,75,93
alyangula,-13.85,80.78,5.39,0,100
altamont,49.4,44.6,8.05,92,100
sao raimundo das mangabeiras,-7.02,96.04,4.05,88,31
viedma,-40.81,76.1,10.65,8,35
hammerfest,70.66,30.2,11.41,80,80
bereda,43.27,44.6,11.41,40,81
hebi,35.75,47.66,7.07,0,32
yulara,-25.24,64.4,4.7,40,82
comarapa,-17.91,59.27,2.93,92,99
utete,-7.99,74.12,3.94,0,86
koulamoutou,-1.13,70.39,3.6,44,99
bergama,39.12,55.47,3.36,0,59
mahibadhoo,3.78,81.41,6.73,68,100
la primavera,-32.92,82.4,8.05,20,34
ginda,30.69,41.45,2.59,0,65
kashmor,28.43,70.43,4.38,0,61
san quintin,17.54,70.7,4.94,20,83
mariinsk,56.21,38.39,9.19,0,80
oros,47.95,62.6,11.41,0,63
sarkand,45.41,46.81,8.19,56,39
japura,-0.42,74.89,2.37,80,97
kupang,-10.16,77.59,4.5,76,100
sitka,37.17,77.32,8.97,0,32
at-bashi,41.17,20.12,1.92,20,70
agadez,16.97,85.51,6.17,88,31
kununurra,-15.77,78.8,2.82,0,74
artsvanist,40.16,21.65,4.5,0,100
trento,46.07,46.67,33.33,90,100
ancud,-41.87,54.14,5.73,92,96
troitsko-pechorsk,62.71,28.31,4.94,76,94
marumori,37.9,54.95,5.06,56,100
satun,6.62,78.89,2.24,20,94
eureka,40.8,65.3,5.82,90,82
mananjary,-19.16,68.0,5.17,100,47
san patricio,-26.98,73.36,4.72,0,63
pula,-1.95,82.4,4.7,75,58
ciudad bolivar,8.12,97.57,16.24,0,33
barcelona,41.38,53.6,3.36,75,87
champerico,16.38,84.2,11.41,90,62
canmore,51.09,51.8,21.92,1,21
nicoya,10.15,78.8,4.7,75,83
puntarenas,9.98,75.2,8.05,75,83
